r,date,n1,n2,n3,n4,n5,n6,n7,n8,sum,median,consecutive,odd,ac,wuxing_ke,prime,partition,luckman
7001,20070103,4,14,19,22,26,29,30,11,144,22.0,1,2,15,2,2,6,1
7002,20070105,1,2,6,11,14,19,27,24,80,11.0,1,4,15,1,3,7,1
7003,20070108,6,8,10,21,25,28,29,11,127,21.0,1,3,16,2,1,5,1
7004,20070110,1,2,3,4,8,23,28,15,69,4.0,1,3,16,1,3,23,1
7005,20070112,1,3,8,18,25,27,29,13,111,18.0,0,5,15,2,2,5,1
7006,20070115,1,4,12,14,22,25,26,18,104,14.0,1,2,15,0,0,3,1
7007,20070117,2,3,11,15,19,24,28,12,102,15.0,1,4,13,1,4,2,1
7008,20070119,3,6,19,23,25,26,30,4,132,23.0,1,4,17,1,3,11,1
7009,20070122,1,4,12,19,22,23,25,21,106,19.0,1,4,16,2,2,3,1
7010,20070124,4,5,18,22,25,26,28,19,128,22.0,2,2,17,0,1,1,1
7011,20070126,11,16,17,20,21,27,28,30,140,20.0,3,4,13,2,2,10,1
7012,20070129,12,14,17,21,22,29,30,19,145,21.0,2,3,15,0,2,27,1
7013,20070131,4,8,12,16,20,24,28,19,112,16.0,0,0,6,0,0,3,1
7014,20070202,2,4,9,10,18,25,26,15,94,10.0,2,2,15,1,1,8,1
7015,20070205,1,2,5,11,14,16,21,23,70,11.0,1,4,17,2,3,36,1
7016,20070207,3,9,15,19,21,22,28,7,117,19.0,1,5,14,0,2,9,1
7017,20070209,3,4,5,7,13,22,25,27,79,7.0,1,5,16,1,4,7,1
7018,20070212,3,10,11,19,20,26,27,17,116,19.0,3,4,11,0,3,2,1
7019,20070214,4,7,10,11,17,22,30,24,101,11.0,1,3,17,1,3,7,1
7020,20070216,1,2,4,5,12,15,16,23,55,5.0,3,3,12,0,2,36,2
7021,20070226,1,2,3,12,15,22,24,23,79,12.0,1,3,15,0,2,4,1
7022,20070228,1,3,11,13,17,21,24,9,90,13.0,0,6,16,1,4,4,1
7023,20070302,5,7,16,17,19,20,24,1,108,17.0,2,4,16,0,4,9,1
7024,20070305,1,4,9,16,18,20,26,23,94,16.0,0,2,18,3,0,4,1
7025,20070307,9,11,14,16,17,21,30,4,118,16.0,1,4,16,1,2,9,1
7026,20070309,1,6,10,13,22,26,29,17,107,13.0,0,3,14,3,2,2,1
7027,20070312,8,9,17,18,19,24,25,29,120,18.0,3,4,12,1,2,3,1
7028,20070314,2,6,7,20,24,27,30,1,116,20.0,1,2,18,2,2,5,1
7029,20070316,1,6,19,20,22,23,29,13,120,20.0,2,4,19,2,3,3,1
7030,20070319,2,3,11,13,15,24,28,21,96,13.0,1,4,15,0,4,2,1
7031,20070321,5,6,14,16,24,25,30,20,120,16.0,2,2,15,1,1,1,1
7032,20070323,13,15,19,20,21,26,27,2,141,20.0,2,5,11,0,2,27,2
7033,20070326,4,11,15,17,18,20,27,28,112,17.0,1,4,15,2,2,9,2
7034,20070328,1,13,15,17,25,28,30,22,129,17.0,0,5,16,0,2,6,2
7035,20070330,3,7,14,15,17,26,27,10,109,15.0,2,5,16,0,3,3,2
7036,20070402,3,8,10,14,15,17,22,29,89,14.0,1,3,13,3,2,33,1
7037,20070404,6,9,11,12,13,16,27,29,94,12.0,1,4,14,0,2,4,1
7038,20070406,1,9,15,21,24,25,29,13,124,21.0,1,6,16,1,1,1,1
7039,20070409,11,13,15,18,19,22,29,27,127,18.0,1,5,14,1,4,14,1
